query,label
whats in this shot,Vision
can you capture this,Vision
take a look at this,Vision
use your camera on this,Vision
show me whats there,Vision
can you observe this,Vision
let me see this,Vision
look and tell me,Vision
whats visible here,Vision
take a snap of this,Vision
can you identify this,Vision
focus on this,Vision
whats in this frame,Vision
open the camera,Vision
what do you detect,Vision
scan this for me,Vision
analyze the scene,Vision
show me this area,Vision
record this view,Vision
describe whats ahead,Vision
look around and show me,Vision
use Vision to check this,Vision
can you see what this is,Vision
whats in the image,Vision
observe this,Vision
look closely at this,Vision
analyze what you see,Vision
describe the picture,Vision
take a look,Vision
use your eyes on this,Vision
inspect the scene,Vision
focus on whats here,Vision
can you interpret this,Vision
whats in view,Vision
see this and tell me,Vision
look at this object,Vision
tell me whats in front,Vision
use your Vision,Vision
snap this for me,Vision
show me whats happening,Vision
what can you find here,Vision
take a photo of this,Vision
check out whats ahead,Vision
interpret this view,Vision
scan the object,Vision
look at what Im showing,Vision
show me your perspective,Vision
take a closer look,Vision
look here and explain,Vision
can you make sense of this,Vision
analyze this frame,Vision
identify whats in the picture,Vision
spot this for me,Vision
can you recognize whats here,Vision
observe and describe,Vision
give me a visual analysis,Vision
tell me what you detect here,Vision
use the camera to explain,Vision
check the scene,Vision
take a snapshot,Vision
whats in the viewfinder,Vision
look at this angle,Vision
tell me about this object,Vision
focus your lens on this,Vision
describe what you capture,Vision
what can you make out,Vision
detect and explain this,Vision
whats visible around here,Vision
survey this for me,Vision
what am i holding,Vision
hey tars what am i holding?,Vision
